Módulo atual,Faltas Consecutivas,Histórico de reprovações,Histórico de Recuperação,Historico de Reprovado por Falta (disciplinas),Idade,Sexo (código),Pend. Acad.,Possui Pendência Financeira,Bolsista,Antecipou Parcela
0,4,0,0,0,32,0,0,0,0,0
0,0,0,0,0,43,0,0,0,0,0
4,12,0,0,6,41,0,0,1,0,0
0,0,0,4,0,20,0,1,0,0,0
4,9,0,0,8,41,0,0,1,0,0
0,0,1,1,1,21,0,1,0,0,0
0,0,1,1,0,23,0,1,0,0,0
0,0,0,0,0,39,0,0,0,0,0
4,11,0,1,6,28,0,0,1,0,0
0,0,1,0,0,27,0,1,0,0,0
4,4,0,0,5,33,0,0,1,0,0
0,0,2,0,0,26,0,1,0,0,0
0,0,0,0,0,41,0,0,0,0,0
0,0,0,0,0,52,0,0,0,0,0
0,0,0,0,0,31,1,0,0,0,0
0,13,1,0,4,25,1,0,1,0,0
0,0,0,0,0,28,1,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,0,0,0,40,1,0,0,0,0
0,0,0,0,0,33,1,0,0,0,0
0,0,0,0,0,42,1,0,0,0,0
0,0,0,0,13,28,1,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,44,1,0,0,0,0
0,0,0,0,0,30,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,35,1,0,0,0,0
0,0,0,1,10,36,1,0,1,0,0
0,0,0,0,0,30,1,0,0,0,0
0,0,0,0,13,37,1,0,1,0,0
0,0,0,0,0,48,1,0,0,0,0
0,0,0,0,0,59,0,0,0,0,0
0,0,0,0,7,28,1,0,1,0,0
0,0,0,0,0,37,1,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,24,0,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,58,1,0,0,0,0
